account_id,alert_id,customer_id,signup_date,alert_date,alert_type,alert_status
800000000001,d92641ed-ac8f-44bc-8033-19f82d7adaad,CUST-000970,2024-03-09,2024-04-13,Dark Web Monitoring,Resolved
800000000002,831d498f-86c6-45ef-b6e4-1b2cca3aa3d2,CUST-000636,2024-06-21,2025-06-04,Dark Web Monitoring,Resolved
800000000003,67811606-f3fc-4662-820e-33bc8d5d2a39,CUST-000305,2024-11-30,2025-02-11,Dark Web Monitoring,Pending
800000000004,d6b2a7f5-52f6-4662-b637-24c72e32bfd6,CUST-000136,2024-09-14,2024-10-11,Credit Inquiry,Acknowledged
800000000005,02138cd2-b7fc-4e9d-ba0e-6c73b9bfcbb6,CUST-000539,2024-10-29,2025-03-31,Dark Web Monitoring,Resolved
800000000006,7185ec90-bab9-44c8-8a0a-5ea50b4370f7,CUST-000761,2024-08-16,2025-03-24,Dark Web Monitoring,Resolved
800000000007,90c47d4a-fbfc-4c17-8f14-878c74662bec,CUST-000965,2024-10-28,2025-02-08,Data Breach,Pending
800000000008,860a49eb-29f1-4733-9953-3b271522c649,CUST-000283,2024-06-23,2025-06-05,Credit Inquiry,Acknowledged
800000000009,b21e95d4-c926-49d1-b867-735139cf17c7,CUST-000980,2024-11-23,2025-02-14,Dark Web Monitoring,Resolved
800000000010,3020495d-75a3-4733-834b-56af35f48811,CUST-000583,2024-12-28,2025-03-16,Dark Web Monitoring,Acknowledged
800000000011,501e20df-02eb-45a5-b4e5-812d82d5c0e1,CUST-000409,2024-05-03,2024-08-25,Data Breach,Acknowledged
800000000012,29c99945-ec18-4835-9538-3616504b736c,CUST-000628,2024-06-25,2025-05-27,Credit Inquiry,Resolved
800000000013,8b56b1d6-ce20-4bc2-8279-e33ecceaa757,CUST-000210,2024-07-14,2025-07-03,Dark Web Monitoring,Resolved
800000000014,093d8f93-fd1c-41e0-842e-a227aab32296,CUST-000445,2024-06-07,2024-11-12,Credit Inquiry,Pending
800000000015,8ec94ce9-aff7-4d7b-9ab7-672cb7ec0152,CUST-000669,2024-06-06,2025-06-26,Dark Web Monitoring,Resolved
800000000016,716ed053-c582-483b-87cc-7d0e5af5c44a,CUST-000824,2024-02-15,2025-01-05,Dark Web Monitoring,Pending
800000000017,8bd2bd97-c8a2-4ab1-a234-eb1032a5bc80,CUST-000547,2024-03-06,2024-05-23,Dark Web Monitoring,Pending
800000000018,33fc5b70-bc02-484a-85ba-6f41ed1a95b7,CUST-000481,2024-05-19,2025-06-07,Credit Inquiry,Pending
800000000019,4cade3ab-c20e-4606-817b-2f6c98adc9af,CUST-000367,2024-02-07,2025-06-20,Credit Inquiry,Acknowledged
800000000020,a38a30e1-6dca-4ea0-850c-a59247126ca1,CUST-000978,2024-06-24,2025-03-02,Data Breach,Resolved
800000000021,7451b09a-a196-4403-a61e-7acf7ba667da,CUST-000336,2024-09-15,2025-05-18,Dark Web Monitoring,Acknowledged
800000000022,54b2618d-c434-4e64-a058-77f429b1781c,CUST-000017,2024-06-19,2025-07-09,Dark Web Monitoring,Pending
800000000023,18ac9bd1-e1aa-4bbe-b205-84c85b9b8d0d,CUST-000592,2024-02-09,2025-06-29,Credit Inquiry,Pending
800000000024,d7329a16-f968-4850-ae0b-63cc5d7e9462,CUST-000551,2024-04-10,2024-06-20,Dark Web Monitoring,Pending
800000000025,cc67948b-9233-44b6-abf0-a5c9d32e10ba,CUST-000710,2024-03-09,2024-06-08,Social Media Account Takeover,Pending
800000000026,ede5eff4-18da-43db-a2db-6d51c5dea67e,CUST-000814,2024-07-28,2024-12-10,Dark Web Monitoring,Acknowledged
800000000027,63c04de6-dc2e-4fc8-a458-c32a54b031b1,CUST-000273,2024-09-07,2024-09-14,Dark Web Monitoring,Resolved
800000000028,18763a06-0df3-42cd-9213-d6c036de2567,CUST-000468,2024-02-27,2024-07-12,Dark Web Monitoring,Pending
800000000029,5234aede-285a-4e54-9f5d-71780fa856a1,CUST-000685,2024-12-23,2025-05-17,Dark Web Monitoring,Acknowledged
800000000030,b3eb12fc-b6ae-4963-b72b-7905d030807d,CUST-000512,2024-09-09,2024-10-31,Dark Web Monitoring,Resolved
800000000031,597d798e-4cc2-48a4-a602-9171726adf64,CUST-000754,2024-03-23,2024-03-28,Dark Web Monitoring,Resolved
800000000032,fe50f113-33c0-4ed3-aff0-c49f59482425,CUST-000731,2024-05-17,2024-06-13,Dark Web Monitoring,Resolved
800000000033,4e8fe391-363d-43ed-a4a6-45829d77c0ce,CUST-000202,2024-07-13,2024-09-02,Dark Web Monitoring,Pending
800000000034,4f9b7272-96df-4ad4-9745-2701b5e83663,CUST-000051,2024-12-21,2025-02-04,Dark Web Monitoring,Pending
800000000035,03584342-e1b0-4c0e-9ef4-2bc2abcc38b2,CUST-000942,2024-11-29,2025-02-01,Social Media Account Takeover,Pending
800000000036,edc042b2-08b1-4770-a217-31512094fdbc,CUST-000336,2024-09-15,2024-09-21,Credit Inquiry,Acknowledged
800000000037,2fc26ed2-dea3-4959-8d8d-19997b946cfa,CUST-000013,2024-12-26,2025-05-26,Dark Web Monitoring,Pending
800000000038,58c920d8-fbbc-4337-8121-f1e60afd8c13,CUST-000872,2024-03-31,2025-04-17,Dark Web Monitoring,Resolved
800000000039,59d84ba3-f0d7-405b-896f-9e0f450fe183,CUST-000442,2024-09-05,2025-05-04,Data Breach,Acknowledged
800000000040,b0b83403-3433-47a1-bb36-b351fcfbd89a,CUST-000786,2024-07-11,2025-04-28,Dark Web Monitoring,Pending
800000000041,6e5c2576-27ab-4106-8819-c35a63f5686e,CUST-000576,2024-11-29,2025-07-01,Credit Inquiry,Pending
800000000042,c42e34c6-865d-422b-8f3f-298de1428ef1,CUST-000750,2024-04-15,2025-06-14,Credit Inquiry,Resolved
800000000043,c6b7f521-fd8e-4144-9d34-dc2342a23967,CUST-000116,2024-12-22,2025-01-09,Dark Web Monitoring,Acknowledged
800000000044,306c7fb1-6e73-40bb-8cac-914020cfb046,CUST-000716,2024-06-30,2025-02-04,Dark Web Monitoring,Resolved
800000000045,81d8eb69-311f-489d-ba8e-09ba19115b05,CUST-000103,2024-10-24,2025-03-24,Dark Web Monitoring,Pending
800000000046,00febfa5-4b83-4624-a74b-8a694335f66a,CUST-000772,2024-10-24,2024-11-03,Dark Web Monitoring,Resolved
800000000047,a7eb7daa-00d5-414d-a633-2924dd43742f,CUST-000731,2024-05-17,2024-10-05,Dark Web Monitoring,Pending
800000000048,e5b3467d-e19a-46cf-bff1-20e00509098e,CUST-000409,2024-05-03,2025-02-04,Dark Web Monitoring,Pending
800000000049,c3df958d-111c-4437-b212-b4ff06533bc0,CUST-000794,2024-11-05,2025-02-09,Credit Inquiry,Acknowledged
800000000050,950be309-9b62-4e65-927d-3c34a4c2663d,CUST-000049,2024-03-29,2024-09-27,Credit Inquiry,Resolved
800000000051,fa71df4f-38ee-45cc-b56a-d5bd6e85be5a,CUST-000273,2024-09-07,2025-05-27,Dark Web Monitoring,Pending
800000000052,fe03c201-8a9c-4243-ae31-2c97cbcca076,CUST-000691,2024-10-22,2025-06-19,Data Breach,Acknowledged
800000000053,8882fd4b-0029-4494-82b5-57e12f830853,CUST-000244,2024-04-27,2024-11-30,Dark Web Monitoring,Resolved
800000000054,0e519f33-cd12-458c-a2dd-dc7da2ed8a62,CUST-000819,2024-01-13,2024-12-07,Data Breach,Pending
800000000055,923dc9f6-e7fd-4fd9-bd68-2ff61d359e97,CUST-000043,2024-08-03,2025-03-12,Data Breach,Resolved
800000000056,ca5f5298-47fa-430e-801b-50379c514a48,CUST-000661,2024-08-09,2024-08-17,Credit Inquiry,Acknowledged
